DATE,UNRATE,CPIAUCSL,GDP
1957-06-01,4.3,28.11,7159.388886363636
1957-07-01,4.2,28.19,479.49
1957-08-01,4.1,28.28,7159.388886363636
1957-09-01,4.4,28.32,7159.388886363636
1957-10-01,4.5,28.32,474.864
1957-11-01,5.1,28.41,7159.388886363636
1957-12-01,5.2,28.47,7159.388886363636
1958-01-01,5.8,28.64,467.54
1958-02-01,6.4,28.7,7159.388886363636
1958-03-01,6.7,28.87,7159.388886363636
1958-04-01,7.4,28.94,471.978
1958-05-01,7.4,28.94,7159.388886363636
1958-06-01,7.3,28.91,7159.388886363636
1958-07-01,7.5,28.89,485.841
1958-08-01,7.4,28.94,7159.388886363636
1958-09-01,7.1,28.91,7159.388886363636
1958-10-01,6.7,28.91,499.555
1958-11-01,6.2,28.95,7159.388886363636
1958-12-01,6.2,28.97,7159.388886363636
1959-01-01,6.0,29.01,510.33
1959-02-01,5.9,29.0,7159.388886363636
1959-03-01,5.6,28.97,7159.388886363636
1959-04-01,5.2,28.98,522.653
1959-05-01,5.1,29.04,7159.388886363636
1959-06-01,5.0,29.11,7159.388886363636
1959-07-01,5.1,29.15,525.034
1959-08-01,5.2,29.18,7159.388886363636
1959-09-01,5.5,29.25,7159.388886363636
1959-10-01,5.7,29.35,528.6
1959-11-01,5.8,29.35,7159.388886363636
1959-12-01,5.3,29.41,7159.388886363636
1960-01-01,5.2,29.37,542.648
1960-02-01,4.8,29.41,7159.388886363636
1960-03-01,5.4,29.41,7159.388886363636
1960-04-01,5.2,29.54,541.08
1960-05-01,5.1,29.57,7159.388886363636
1960-06-01,5.4,29.61,7159.388886363636
1960-07-01,5.5,29.55,545.604
1960-08-01,5.6,29.61,7159.388886363636
1960-09-01,5.5,29.61,7159.388886363636
1960-10-01,6.1,29.75,540.197
1960-11-01,6.1,29.78,7159.388886363636
1960-12-01,6.6,29.81,7159.388886363636
1961-01-01,6.6,29.84,545.018
1961-02-01,6.9,29.84,7159.388886363636
1961-03-01,6.9,29.84,7159.388886363636
1961-04-01,7.0,29.81,555.545
1961-05-01,7.1,29.84,7159.388886363636
1961-06-01,6.9,29.84,7159.388886363636
1961-07-01,7.0,29.92,567.664
1961-08-01,6.6,29.94,7159.388886363636
1961-09-01,6.7,29.98,7159.388886363636
1961-10-01,6.5,29.98,580.612
1961-11-01,6.1,29.98,7159.388886363636
1961-12-01,6.0,30.01,7159.388886363636
1962-01-01,5.8,30.04,594.013
1962-02-01,5.5,30.11,7159.388886363636
1962-03-01,5.6,30.17,7159.388886363636
1962-04-01,5.6,30.21,600.366
1962-05-01,5.5,30.24,7159.388886363636
1962-06-01,5.5,30.21,7159.388886363636
1962-07-01,5.4,30.22,609.027
1962-08-01,5.7,30.28,7159.388886363636
1962-09-01,5.6,30.42,7159.388886363636
1962-10-01,5.4,30.38,612.28
